Job Title,Salary Estimate,Job Description,Rating,Company Name,Division,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Senior Data Analyst (PowerBI),-1,"OMERS Products and Technology is looking for Data Analyst passionate about all sides of data analytics and eager to build a data visualizations for our pension Data Engineering team. The individual should be extremely motivated and want to constantly learn and apply new technologies. In this role, the qualified candidate is expected to drive actionable insights.

As a member of this team, you will be responsible for:
Interpreting data, analyze results using statistical techniques and provide regular, timely, accurate reports and dashboards
Gathering business requirements and documentation following Agile Practices
Work with Product Managers and Stakeholders to prioritize business data needs
Locate and define new process improvement opportunities
Enable business users to bring data-driven insights into their business decisions through reports and dashboards
Understand and communicate complex business concerns and solutions in clear and concise manner
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and clean data as part of each development initiative
Develop Power BI semantic models, dashboards and reports


Must have 5+ years of Hands on experience with Data Modeling, Power BI desktop, Power Query, Azure Data Factory and Azure SQL Server
Must have experience working with one or more programming, scripting, and analytical languages such as DAX, MDX, T-SQL, Python, PowerShell
Must have experience building semantic data modeling and publish datasets accordingly
Understanding row level, object level security rules and roles in projects and workspaces is an asset.
Experience working with Power BI external tools such as Tabular Editor, DAX studio and Vertipaq Analyzer is an asset.
Good Understanding of Data Warehouse concepts
Ability to design and build reports, dashboards, data visualizations and analytics using Power BI
Ability to write complex queries using SQL.
Proven Hands on experience with Azure DevOps deployment Pipelines.
Good Knowledge and understanding of Data Governance and Security Measures.
Experience with SSIS is an asset
Good hands on experience working with streaming data.
Have experience in Analyzing the BI needs, interpreting business user requirements and translating them into reports.
Knowledge of statistics and experience using statistical packages for analyzing datasets.
Strong analytical skills with the ability to collect, organize, analyze, and visualize the data.
Strong written and verbal communication skills
Ability to handle multiple tasks concurrently
Ability to take initiative, multi-task and work in an agile environment
A team player and motivated self-starter
Bachelor’s Degree in Computer Science, Engineering or a related technical field


Founded in 1962, OMERS is one of Canada’s largest defined benefit pension plans, with $121 billion in net assets as at December 31, 2021. OMERS is a jointly-sponsored pension plan, with 1,000 participating employers ranging from large cities to local agencies, and over half a million active, deferred and retired members. OMERS members include union and non-union employees of municipalities, school boards, local boards, transit systems, electrical utilities, emergency services and children’s aid societies across Ontario. Contributions to the Plan are funded equally by members and employers. OMERS teams work in Toronto, London, New York, Amsterdam, Luxembourg, Singapore, Sydney and other major cities across North America and Europe – serving members and employers and originating and managing a diversified portfolio of high-quality investments in public markets, private equity, infrastructure and real estate.

OMERS is committed to having a workforce that reflects the communities in which we live and work. We are an equal opportunity employer committed to a barrier-free recruitment and selection process. At OMERS inclusion and diversity means belonging. How we create a sense of belonging is through our employees and our vast network of Employee Resource Groups. Whether you are passionate about gender, pride, or visible minorities, we have groups that are focused on making a difference in all of our lives.

Vaccination Policy

At OMERS and Oxford the office or worksite is our primary place of work. We are committed to providing work environments which promote the health, safety and well-being of all employees in accordance with public health regulation and guidance. Accordingly, employees are required to provide evidence of full vaccination or have an approved exemption.",4.0,"OMERS
4.0",,Toronto,1001 to 5000 Employees,1962,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable
Instructor: Artificial Intelligence & Data Science (Part-time),CA$80K - CA$121K (Glassdoor est.),"Job Description
Toronto Business College is a private career college that has partnered with an Ontario community college to offer programs to international students in the GTA. Our goal is to provide our students with the theoretical knowledge and practical skills required to thrive in the increasingly dynamic workforce. We strive to offer the most relevant programs and integrate hands-on learning experiences into every class to best equip our students to succeed.
TBC is seeking to hire a part time instructor for our Artificial Intelligence and Data Science program. Courses will be delivered on campus to international students.
Disciplines within the program include:
AI Principles and Best Practices in Canada",4.1,"TORONTO BUSINESS COLLEGE
4.1",,North York,1 to 50 Employees,,College / University,,,Unknown / Non-Applicable
Applied Data Scientist,CA$55K (Employer est.),"Position
Applied Data Scientist
Reporting to
Director of Technology
About the role
Airudi is looking for an applied data scientist to discover the information hidden in vast amounts of data, and to build the AI models that will enable Human Resources professionals to make smarter decisions.",-1,Airudi,,Remote,,,,,,
Data Scientist,-1,"Are you looking to join a dynamic pension plan that embodies the strong values of its 500,000 members and is an industry leading global investor? If so, we would love to tell you our story.

At OMERS we put our people first and are proud to embrace the diversity of thought and leadership that comes from having locations in Toronto, London, New York, Singapore, Sydney and other major cities across North America and Europe. Our culture is truly one of a kind. We get stuff done, and have fun doing it! We take great pride in contributing to the communities where we live with an ever-constant eye to the global investment markets.

The Data Scientist will join the dynamic Enterprise Data & Advanced Analytics team within Data & Technology that applies data, analytics and AI to develop scalable business-first solutions for sustainable growth at OMERS. The Data Scientist will work alongside analytics specialists on their team and partner with data and analytics specialists within businesses and corporate functions to design, develop, implement and scale advanced solutions following best practices to drive measurable business outcomes.

Reporting to the Director of Enterprise Data Science, you will work closely with our Businesses, Corporate Functions, Enterprise Architecture, Business Relationship Management, Infrastructure and Enterprise Service Management, Cyber, Data Engineering, Data Governance and Analytics Strategy teams to deploy new capabilities following leading product management and AI system methodologies. You will develop and nurture strong relationships with partners in a variety of different business units across our global portfolio, building an understanding of their needs and how to apply data, analytics and AI techniques to increase scale and operational efficiency, enhance self-service capabilities and elevate the understanding & application of these capabilities across the company.

The Data Scientist will partner with internal stakeholders and external partners to build out AI systems and deliver data analytics projects within set timelines. They meet objectives and focus on priorities which drive the successful operation of this Department and ensures alignment with OMERS business and technology strategy.


Fostering strong relationships among cross-functional teams and facilitating decision making within multi-level audiences. Applying a system thinking approach to lead execution of data, analytics and AI initiatives quickly and in collaboration with other teams
Driving the implementation of corporate/strategic objectives via AI/ML driven projects and seeing opportunities
Building ML projects from experiments and hands-on solutioning through to production
Implementing model tracking, updating, and auto-train capabilities in addition to accounting for drift and imbalance
Building and maintaining NLP models using state of the art techniques like transformers and seq2seq for the purposes of classification, sentiment analysis, entity extraction, and more
Driving analytics innovation by posing open ended questions, exploring new ideas, recommending the appropriate techniques to solve challenging business problems and rapid prototyping
Developing, deploying, and operationalizing data science products along with the supporting integrated tools and processes, including but not limited to security, performance, scalability, and extendibility
Hands on creation and oversight of analytical models, conducting model training, validation, testing, integrated reconciliations and ongoing data and model integrity maintenance
Remaining on the “leading edge” of emerging data, analytics and AI technologies and techniques to identify and implement novel tools and techniques and their application to new use cases and deployment opportunities
Driving a culture of innovation and AI by taking initiatives for activities such as lunch and learns, hackathons, paper readouts, etc.


A undergraduate or graduate degree in Computer Science, Engineering, Statistics, Mathematics or any other quantitative field
Minimum five (5) years’ experience working in a data science/ Machine Learning environment
1-3+ years of experience leading and delivering enterprise-scale data science/ML projects and facilitating collaboration across teams
A proven grasp of the practical and theoretical aspects of statistical and deep learning such as data structures, algorithms, gradient descent, probability theory, linear algebra, calculus, hypothesis testing, and more
Experience building scalable and automated ML pipelines with strong Python programming skills
Natural language computing/understanding experience including but not limited to source data extraction, structuring, named entity extraction, sentiment analysis, topic modelling, and more
Experience with framework such as TensorFlow, Keras, PyTorch, MxNet and the sci-kit learn library
Proficiency with git is a must
Experience implementing pre-built models at scale along with retraining and implementing a custom deep-learning architecture is a strong plus
Experience working in the financial sector- ideally banks or investment firms, is an asset
Experience within Pensions, Investments and Commercial Real Estate sectors are an asset
Hands-on experience with big data systems such as Spark, Hadoop, Hive and ideally cloud technologies such as Azure Data Factory, AzureML, Azure Synapse, Google Fusion, Google BigQuery, AWS SageMaker, and others
Experience in using external/alternative data, data modeling, data architecture, data engineering, insight generation, data visualization, feature engineering and AI systems development & optimization
A passion around learning new technologies and analytical techniques with a track record of acting on this in prior roles and in their free time through projects, partnerships, mentoring and hackathons
Demonstrated experience as a leader in creatively addressing unique or ambiguous situations and motivating teams and delivering multiple projects simultaneously serving multiple stakeholders
The ability to build relationships and facilitate across a diverse group of stakeholders in several different business units
Demonstrated experience applying product management, design thinking and human centered design
Polished written and verbal communication and presentation skills targeted at all levels of the organization


Founded in 1962, OMERS is one of Canada’s largest defined benefit pension plans, with $121 billion in net assets as at December 31, 2021. OMERS is a jointly-sponsored pension plan, with 1,000 participating employers ranging from large cities to local agencies, and over half a million active, deferred and retired members. OMERS members include union and non-union employees of municipalities, school boards, local boards, transit systems, electrical utilities, emergency services and children’s aid societies across Ontario. Contributions to the Plan are funded equally by members and employers. OMERS teams work in Toronto, London, New York, Amsterdam, Luxembourg, Singapore, Sydney and other major cities across North America and Europe – serving members and employers and originating and managing a diversified portfolio of high-quality investments in public markets, private equity, infrastructure and real estate.

OMERS is committed to having a workforce that reflects the communities in which we live and work. We are an equal opportunity employer committed to a barrier-free recruitment and selection process. At OMERS inclusion and diversity means belonging. How we create a sense of belonging is through our employees and our vast network of Employee Resource Groups. Whether you are passionate about gender, pride, or visible minorities, we have groups that are focused on making a difference in all of our lives.

Vaccination Policy

At OMERS and Oxford the office or worksite is our primary place of work. We are committed to providing work environments which promote the health, safety and well-being of all employees in accordance with public health regulation and guidance. Accordingly, employees are required to provide evidence of full vaccination or have an approved exemption.",4.0,"OMERS
4.0",,Toronto,1001 to 5000 Employees,1962,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable
"Data Science Specialist, Investments",CA$89K - CA$108K (Glassdoor est.),"Job Description :
About Us

Amica Senior Lifestyles is setting a new standard for senior living in Canada by combining unparalleled premium hospitality and amenities with expert care and support to deliver a personalized senior living experience. Committed to enriching the lives of seniors now and as their needs change, Amica offers Independent Living (IL), Assisted Living (AL) and Memory Care (MC) lifestyle options. Established in 1996, the company owns and operates 33 residences in British Columbia, Alberta and Ontario, with plans to continue expansion in select markets.

The Opportunity",3.6,"Amica Senior Lifestyles
3.6",,Toronto,1001 to 5000 Employees,1996,Company - Private,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD)
Staff Data Scientist,-1,"Staff Data Scientist

Must Have:

7+ years of experience with general purpose programming languages e.g., Python, C/C++, Java
7+ years of hands-on experience in machine learning and deep learning
Nice to Have:

Exposure to machine learning platforms such as TensorFlow, TensorFlow Extended, PyTorch
Our client is…

Responsibilities:",4.6,"ISG Search Inc
4.6",,Toronto,1 to 50 Employees,1990,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Scientist (Deep Learning),CA$135K - CA$150K (Employer est.),"Le Data Scientist (Deep Learning) fera partie d’un tout nouveau centre de recherche en intelligence artificielle (AI) et contribuera à la création de nouveaux systèmes puissants dans le domaine de la santé.
PLUS PRÉCISÉMENT
Analyser un très haut niveau de données et les transformer;
Concevoir et développer de nouveaux algorithmes d’AI avec le langage Python;
Suggérer de nouvelles façons d’exploiter les données de l’entreprise;
Rester à l’affût des dernières tendances et technologies.
PROFIL",5.0,"DELAN - Chasseurs de Talents en TI
5.0",,Montreal,1 to 50 Employees,1997,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
Data Scientist,CA$134K - CA$191K (Glassdoor est.),"As a Data Scientist, you’ll bring a deep understanding of big data and will help the T+IL to build and enable big data analytics solutions.
WHO YOU ARE
Domain expertise
10+ years in Senior engineering and technology roles working with product development teams, delivering and building digital products – while remaining hands-on
Minimum of 5 years of experience in data science
Understanding of high performance algorithms and Python statistical software
Experience in industry data science (e.g., machine learning, predictive maintenance)",-1,Maarut Inc,,Calgary,51 to 200 Employees,,Private Practice / Firm,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Senior Data Analyst,CA$63K - CA$119K (Glassdoor est.),"Job ID #350217
Senior Data Analyst
On behalf of our client in the Automotive Sector, PROCOM is looking for a Senior Data Analyst.
Senior Data Analyst - Job Description
Analyse the data to support critical business transformation initiatives.
Elicit, analyze, interpret business and data requirements to develop complete business solutions, includes review data models (entity relationship diagrams, dimensional data models), ETL and business rules, data life cycle management, governance, lineage, metadata and reporting elements",3.9,"Procom
3.9",,Toronto,5001 to 10000 Employees,1978,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 billion (USD)
Sr. Data Analyst,CA$44K - CA$53K (Glassdoor est.),"Title: Sr. Data Analyst

Location: Greater Toronto Area, ON (Onsite)

Type: Long Term Contract

Description:
Our client's Register Division is looking for a results-oriented and motivated Sr. Data Analyst professional to join their team.

As Sr. Data Analyst you will leverage your proven expertise to design and implement Extract-Transform-Load (ETL) programs for a redesigned program.

Job Qualification & Requirements:


Job Requirements


We are an equal opportunity employer.

We wish to thank all those who apply. Our team will contact individuals whose skills and experience most closely match our requirements.

INDHuntelGlobalToronto",3.9,"Drake International Inc
3.9",,Toronto,1001 to 5000 Employees,1951,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
Data Lead (Remote),CA$49K - CA$58K (Glassdoor est.),"Data Lead (Remote) Ref # VS1114223
The Career Foundation is seeking a full-time Data Lead (Remote) on behalf of one of our employer partners.
Location: Toronto, ON
Job Type: Full-Time Permanent, Remote
Days of Work: Monday to Friday
Number of Vacancies: 1
Benefits:",4.3,"The Career Foundation
4.3",,Toronto,1 to 50 Employees,,Nonprofit Organization,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD)
Junior Software Developer: Data Science,CA$55K - CA$75K (Employer est.),"About Us
Copperstone helps mining companies manage liabilities and safety costs associated with their tailings ponds. We do this by building field robots that can access their tailing ponds in a way never before possible. Our robots bring sensors or sampling payloads to a tailings pond, keeping people out of harm’s way, reducing costs and improving efficiencies for our clients. Inspired by advanced remote sensing and space robotics, we envision developing innovative tools and exploratory methods to help Earth’s most challenging environments. Copperstone started operations in 2014 and has since grown a creative and committed team supporting the mining industry with robotic services for hazardous site investigations.
Why Copperstone?
We put people first",5.0,"Copperstone Technologies Ltd.
5.0",,Edmonton,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Data Visualization and Analytics Advisor,CA$45K - CA$78K (Glassdoor est.),"Manpower is currently seeking a Data Visualization and Analytics Advisor for a long-term contract opportunity with a major oil and gas client located in Calgary, AB. This position is a hybrid role working in office 3 days a week while working from home 2 days a week.
Don't wait… Apply today!

What will you be doing?
Generate weekly/monthly scorecard reports for Downstream Manufacturing which includes but is not limited to safety, environment, and operational metrics
Attend reporting review meetings and make any adjustments as required from stakeholder feedback and provide general updates on progress",4.1,"Manpower
4.1",,Calgary,10000+ Employees,1948,Subsidiary or Business Segment,HR Consulting,Human Resources & Staffing,$10+ billion (USD)
Data Analytics Advisor,-1,"Adecco is currently hiring for a full-time Data Analytics Advisor, to work a one-year contract at a well-established integrated oil and natural gas company, in Calgary, AB. In this role, you will be responsible for the development of the monthly manufacturing scorecard using Power BI data visualization. If you have an In-depth knowledge of PowerBI, and strong working knowledge of SQL, then this job is yours! Apply now!
Location: Calgary, AB
Shifts: Monday to Friday
Job type: Full-time |Long-Term Contract
Here's why you should apply:
Hires fast, pays weekly
Don't miss out on this Data Analytics Advisor job in Calgary, AB. Apply now and you will hear back from an Adecco Recruiter soon.

To find out more about Adecco Perks and how it can benefit you as an associate visit our page here: https://www.adecco.ca/en-ca/working-with-a-staffing-agency/adecco-perks/

@@j

CAC3088",-1,"Adecco Canada
3.7",,Calgary,501 to 1000 Employees,,Subsidiary or Business Segment,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD)
STATISTICAL ANALYST - UBC,CA$35.98 Per Hour(Employer est.),"Recruiting in Motion is a successful and dynamic professional employment agency that has become deeply integrated into Metro Vancouver’s business sector as the go-to agency for the recruitment and placement of outstanding employees. Proudly BC-owned and operated, we ensure that all our candidates — temporary, contract, permanent or executive — are provided with exciting and impressive employment opportunities. In fact, we are ranked as one of Growth 500 Canada's fastest-growing companies and we represent BC's Top Employers!

About our Client
Recruiting in Motion Vancouver is an authorized staffing partner and service provider to The University of British Columbia . The University of British Columbia is a global centre for teaching, learning and research, consistently ranked among the top 20 public universities in the world. UBC has several locations where we provide temporary staff including the Point Grey Campus, UBC Robson Square and several UBC hospital sites (VGH and vicinity, St. Paul’s, BCCH, Royal Columbian, and BC Women’s). They are looking for a Statistical Analyst on full time temporary basis to start as soon as possible. The shifts run from 9 am to 5 pm, Monday to Friday and the pay rate will be $35.98 an hour. This is a remote position and you will be responsible to work closely with the Principal Investigator and members of the research team and will be involved in research projects that will require skills in a variety of statistical and data science techniques. If you have a comparable previous experience and you are looking for an exciting new opportunity, then we want to hear from you! Apply today!

Responsibilities

Participating as a member of research team

Providing statistical expertise for the design, execution and analysis of genomic, translational and clinical studies

Gathering, analyzing, and interpreting research data

Providing conclusions and recommendations, using a variety of established and newly developed statistical software

Drafting reports of statistical findings for publication

Writing statistical methodology sections of grant proposals

Identifying problem areas and study limitations

Consulting with investigators and research staff regarding statistical analysis and reporting of clinical findings for evidence-based outcome analysis

Responding to a variety of questions from research staff regarding study design, interpretation, and statistical software

Communicating technical concepts to non-statisticians

Performing other duties as assigned

Requirements

Minimum 3 years of statistician experience is required

Experience with biostatistics and/or health data management, data cleaning & analysis is must

Must have technical skills such like SAS or R programming

Experience with SAP development and Clinical Study report writing is needed

Must be fully Vaccinated – in case for attending onsite meetings

Outstanding communication (oral and written) and interpersonal abilities

Excellent organizational and leadership skills

Ability of multi-tasking and working with multidisciplinary team

How to Apply

All applicants must have legal permission to work in Canada and require a valid Work Permit and Social Insurance Number.

Good jobs go fast. Don't wait! apply today!

Visit our website www.recruitinginmotion.com for a complete listing of all our exciting job opportunities. There is no fee to job seekers.

We are Vancouver's #1 Employment Agency and represent BC's top employer!

#RIMCA",4.4,"Recruiting in Motion
4.4",,Vancouver,51 to 200 Employees,2010,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
,CA$50K - CA$105K (Glassdoor est.),,-1,,,,,,,,,
