Job Title,Salary Estimate,Job Description,Rating,Company Name,Division,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,130000,"The Data scientist will use data tools to drive deep understanding of companys lead data with the goal of improving our ability to convert more leads into opportunities. They will help solve challenging problems using data science techniques.
Job Category: Entry to senior level positions available.
Work locations: In office, hybrid schedules available.
Salary Range: $60,000 - $200,000 commensurate with experience and education.
Roles & Responsibilities
Analyze data to extract valuable insights with goal to improve marketing techniques, and increase sales
Help the team develop analytics on the entire business cycle from Lead generation to Installation",3.8,"Trinity Solar Careers
3.8",,"Wall, NJ",1001 to 5000 Employees,1994,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$100 to $500 million (USD)
Data Scientist/Biostatistician,-1,"Scismic is supporting the growth of a biotech company based out of Palo Alto, CA!
About the Role:
We are in search of a talented Data Scientist | Bioinformatician | Biostatistician to join their team. In this
role, you will be working closely with their entire team of scientists to ensure correct statistical analysis of
data, build pipelines for data ingestion and analysis, and develop machine learning models for evaluating
existing chemical structures and predicting new ones. You must excel in asking the right questions, and
applying the right statistical and machine learning methods, to ensure that we are making the right
inferences from their biological data. You enjoy a mix of practical and theoretical work, and are driven by
the impact your work has on concrete decision-making to ensure we meet their long-term goals of getting
drugs into the hands of patients with neurodegenerative diseases.",3.1,"Scismic
3.1",,"Palo Alto, CA",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
,-1,,-1,,,,-1,-1,-1,-1,-1,-1
,-1,,-1,,,,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Job Description
HGV Now Offers Day One Team Member Benefits!
The Data Scientist for Information Management & Analytics utilizes a blend of science, economics, and operational data to identify and capitalize on opportunities to improve business performance. The role will prove analytics and statistical models to deliver real-time business recommendations and solutions. Areas of focus include Pricing, Inventory Management, Sales Efficiency, Marketing, Digital Analytics, Owner Satisfaction, and Portfolio Performance. This is a high-impact role in which you will have a direct influence on how decisions are made.
Position Summary:
Work closely with various business units to develop solutions for data-intensive business problems.",3.9,"Hilton Grand Vacations
3.9",,"Orlando, FL",5001 to 10000 Employees,1992,Company - Public,Hotels & Resorts,Hotels & Travel Accommodation,Unknown / Non-Applicable
,-1,,-1,,,,-1,-1,-1,-1,-1,-1
,-1,,-1,,,,-1,-1,-1,-1,-1,-1
Data Scientist(remote),4750,"year degree
Look for strong Data analytics exp. and exp. in data mining (-3+ years exp.)
Background or proven exp. in mining data for analytics insights.
Good exposure to enterprise statistical tools like SAS, Statistica, SPSS or SAS E Miner
Exp./knowledge of: Databricks, AWS, Python, SQL, R,, SQL Database
Exp. with data visualization tools – example: Power BI and/or Tableau.
entegee.com
This message is intended only for the designated recipient(s). It may contain confidential or proprietary information and may be subject to other contractual or confidentiality protection. If you are not a designated recipient, you may not review, copy or distribute this message. If you receive this message in error, please notify the sender by reply email and delete this message",3.4,"Entegee
3.4",,Remote,1001 to 5000 Employees,1996,Subsidiary or Business Segment,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD)
Jr. Data Scientist,-1,"Job#: 1309758

Job Description:
Apex Systems is seeking a data scientist with a year of work under their belt to join a Fortune 500 enterprise company and continue to grow your skillset. This is a great opportunity to join a company that will be a long-term stable option for your career.

YOUR ROLE

Do you find energy and excitement in leveraging critical thinking and data to drive solutions to complex, unstructured problems? Do you have a self-starting attitude constantly driving improvements without direction? Are you naturally curious always looking for new information and relationships? Do you enjoy driving strategy and results using create problem solving and data?

We are revolutionizing the analytics space in the Long-Term Care Insurance industry via innovative technology, intuitive design, and creative thought leadership. We have repeatedly shown the value of the analytics team and continue to invest in our team.

Using the latest analytic tools and processes, we’re able to analyze our data to provide strategic insight leading to transformational change. To carry us even further, we are seeking a Data Scientist/Analyst to join our expanding, problem-solving team, supporting our Long-Term Care Data Insights and Strategy Committee. This individual will harness the power of data to enhance analytic insights and predictive capabilities around our customers and processes to support critical initiatives that will transform the landscape of Long-Term Care Insurance.

WHAT YOU WILL BE DOING

MUST HAVE/WHAT YOU BRING

NICE TO HAVE

EEO Employer

Apex Systems is an equal opportunity employer. We do not discriminate or allow discrimination on the basis of race, color, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related medical conditions), age, sexual orientation, gender identity, national origin, ancestry, citizenship, genetic information, registered domestic partner status, marital status, disability, status as a crime victim, protected veteran status, political affiliation, union membership, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at employeeservices@apexsystems.com or 844-463-6178.


Contract


Lynchburg, VA, US


Applications and Data Management


November 8, 2022",3.9,"Apex Systems
3.9",,"Lynchburg, VA",1001 to 5000 Employees,1995,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD)
Data Scientist,-1,"With a recent Series E raise of USD$325M from top investors like Tiger Global, Rokt is poised for rapid growth as we prepare for our IPO. Come join our growing team - operating in 19+ markets worldwide, with its headquarters in NYC, and a major R&D hub in Sydney. Listed as ‘Great Places to Work’ in the US and Australia, Rokt’s ecommerce technology helps companies like Live Nation, Groupon, Staples, Lands’ End, Fanatics, GoDaddy, Vistaprint and HelloFresh seize the full potential of every transaction moment to grow revenue and acquire new customers at scale. Our award-winning culture is guided by our five core values: Smart with Humility, Own the Outcomes, Force for Good, Conquer New Frontiers, and Enjoy the Ride. These values help us attract, engage, and develop the right talent around the globe and ensure we have the right conditions to do our best work.
The Rokt engineering team builds best-in-class ecommerce technology that provides personalized and relevant experiences for customers globally and empowers marketers with sophisticated, AI-driven tooling to better understand consumers. Our bespoke platform handles millions of transactions per day and considers billions of data points which gives engineers the opportunity to build technology at scale, collaborate across teams and gain exposure to a wide range of technology. We are expanding rapidly in our major R&D centers in NYC and Sydney. We are passionate about using intelligent systems to improve the Transaction Moment™ for retailers everywhere. Come join us and build the future!
SQL, Python, Data Modeling, Machine LearningSQL, Python, Data Modeling, Machine Learning, NLP, Computer Vision, Kubernetes, Kubeflow, Testing",4.4,"Rokt
4.4",,"New York, NY",201 to 500 Employees,2012,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
,-1,,-1,,,,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Job Summary
Data Analysis -Analyze the data from various sources for different use-cases.
Algorithm Development: Identify trends, patterns and develop predictive and prescriptive analytics.
Collaborate with other data scientists and other business units to solve business problems.



Qualifications / Education / Experience
Bachelor's degree or equivalent experience in a quantitative field (Statistics, Mathematics, Computer Science, Engineering, etc.) Advanced degree preferred.



About BHI Energy

BHI Energy is a broad umbrella organization with a complete service offering that covers all facets of Power Generation through the entire Electrical Delivery system. For over 40 years, our diverse services have been focused on multiple end markets, united by our level of service and quality, our unique partnership approach to our customer relationships, and our internal culture of how we interact with and support each other. To learn more about us, go to www.bhienergy.com.

BHI Energy provides competitive compensation & benefits, career advancement opportunities and a great work culture!

Apply now! BHI Energy?s Talent and Placement Specialists are waiting for your application.",4.0,,,,1001 to 5000 Employees,1979,Company - Private,Research & Development,Management & Consulting,$100 to $500 million (USD)
Data Scientist,125000,"Opensignal is an industry leader in providing crowdsourced data for the world's leading tier 1 telecoms and mobile companies. Opensignal collects and analyzes mobile network coverage and experience statistics from millions of mobile devices to deliver deep insights into the telecommunications industry. We are a fast-paced company that offers energetic individuals the opportunity to join a unique team of entrepreneurs, strategists, and developers to collect and analyze mobile network coverage and user statistics to deliver actionable insights!
How you will make an impact…
We are seeking a highly analytical candidate to join our team as a Data Scientist on the Research and Development (R&D) team. The R&D team conducts early stage research to prioritize new product concepts, manages the short-term product pipeline by taking products and features to at least a proof of concept stage, and identifies and integrates external data to complement and enrich our existing proprietary data.




Python, SQL, Machine LearningPython, SQL, Machine Learning",4.1,"Opensignal
4.1",,Remote,51 to 200 Employees,2010,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
Jr Data Scientist,-1,"Data Scientist / Research Analyst

Job Summary:
The Research and Analytics Associate – supports the identification of new revenue data and analytics opportunities in our verticals of interest.
Assist in strategic analysis, and strategic market research
Help in the execution of pilot testing of domain data and analytic products which are already in the pipeline.
Support existing and forthcoming relationships
The impact
Bring new revenue: Drive new revenue from pipelined partnerships and products
Qualifications

Technology Doesn't Change the World, People Do.®

Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.

Robert Half puts you in the best position to succeed by advocating on your behalf and promoting you to employers. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity – even on the go. Download the Robert Half app and get 1-tap apply, instant notifications for AI-matched jobs, and more.

Robert Half will consider qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance. All applicants applying for U.S. job openings must be authorized to work in the United States. Benefits are available to temporary professionals. Visit https://roberthalf.gobenefits.net/ for more information.

© 2022 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to Robert Half’s Terms of Use .",3.9,"Robert Half
3.9",,"Piscataway, NJ",10000+ Employees,1948,Company - Public,HR Consulting,Human Resources & Staffing,$5 to $10 billion (USD)
Deep Learning Data Scientist,180000,"Deep Learning Data Scientist
Biotech Research | Boston, MA | On-Site
$160,000-200,000 base salary + stock + benefits
The Company
This role is at a biotechnology research company that is using AI to develop new methods of drug discovery. This company is also transforming health care and sustainability, as they are inventing breakthrough technologies to identify novel disease targets and develop therapeutic methods to tackle a range of diseases.
As a Deep Learning AI Scientist, you will regularly be using ML/DL techniques across RNA biology and chemistry to help start-up this initiative and bring it to life.",3.9,"Harnham
3.9",,"Cambridge, MA",51 to 200 Employees,2006,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD)
Data Scientist - NLP,6220,"JOB TITLE: Data Scientist - NLP
LOCATION: Remote
DURATION: 1+ year

Summary:
This Data Scientist will work with stakeholders to provide insight from the data, around facilities, culinary, and security. Looking for a true Data Scientist and motivated individual and can work with ambitious acts and large data numbers and be confident in the tasks they take on.

Job Responsibilities:
"" Apply knowledge of statistics, machine learning, programming, data modeling, simulation, and advanced mathematics to recognize patterns, identify opportunities, pose business questions, and make valuable discoveries leading to prototype development and product improvement.
"" Use a flexible, analytical approach to design, develop, and evaluate predictive models and advanced algorithms that lead to optimal value extraction from the data.
"" Generate and test hypotheses and analyze and interpret the results of product experiments.
"" Provide Business Intelligence (BI) and data visualization support, which includes, but limited to support for the online customer service dashboards and other ad-hoc requests requiring data analysis and visual support.


"" 3+ years of experience as a Data Scientist
"" Experience with NLP, Machine Learning and Time Series Analysis
"" SQL experience and working with large datasets
"" Data Visualization

IND123",4.1,"Ursus, Inc.
4.1",,"New York, NY",51 to 200 Employees,2015,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$25 to $100 million (USD)
Machine Learning Developer/Data Analysis,-1,"Required:
Coding experience in Python and SQL.
Experience with ML/AI tools such as TensorFlow, Colab, Vertex AI.
Experience with data processing pipelines such as Airflow, DataFlow.
Experience with GCP (Google Cloud Platform) or other cloud platforms.
Experience developing, maintaining, productionizing, Machine Learning models and debugging their performance on a complex system, having experience in production ML systems is highly desirable.
Analyzing and troubleshooting large-scale distributed systems.
Self-motivated attitude and strong communication skills enabling you to interface with remote collaboration environments.
Machine Learning Developer/Data Analysis


Yoh, a Day & Zimmermann company, is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Visit https://www.yoh.com/applicants-with-disabilities [1]to contact us if you are an individual with a disability and require accommodation in the application process.


------
[1] https://www.yoh.com/applicants-with-disabilities
#IND-SPG",3.9,"Yoh, A Day & Zimmermann Company
3.9",,"Mountain View, CA",1001 to 5000 Employees,1940,Company - Private,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD)
Machine Learning Developer/Data Analysis,-1,"Required:
Coding experience in Python and SQL.
Experience with ML/AI tools such as TensorFlow, Colab, Vertex AI.
Experience with data processing pipelines such as Airflow, DataFlow.
Experience with GCP (Google Cloud Platform) or other cloud platforms.
Experience developing, maintaining, productionizing, Machine Learning models and debugging their performance on a complex system, having experience in production ML systems is highly desirable.
Analyzing and troubleshooting large-scale distributed systems.
Self-motivated attitude and strong communication skills enabling you to interface with remote collaboration environments.
Machine Learning Developer/Data Analysis


Yoh, a Day & Zimmermann company, is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Visit https://www.yoh.com/applicants-with-disabilities [1]to contact us if you are an individual with a disability and require accommodation in the application process.


------
[1] https://www.yoh.com/applicants-with-disabilities
#IND-SPG",3.9,"Yoh, A Day & Zimmermann Company
3.9",,"Mountain View, CA",1001 to 5000 Employees,1940,Company - Private,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD)
RMS Data Scientist (Remote)/ Only W2 candidates,7750,"RMS Data Scientist (Remote)
Duration: 24 Months
Rate: $75 to $80/Hr
Essential Job Results
Build and maintain forecasting & pricing models
Deploy sophisticated analytics programs, machine learning, and statistical methods
Prepare data for predictive and prescriptive modeling
Find hidden patterns using data",3.8,"Vaco
3.8",,Remote,501 to 1000 Employees,2002,Company - Private,Business Consulting,Management & Consulting,$500 million to $1 billion (USD)
,-1,,-1,,,,-1,-1,-1,-1,-1,-1
Data Scientist (JO-2211-181835),167500,"Software company in Irvine specializing in automation solutions looking to hire on a permanent basis for Data Science team. Lots of growth opportunity! Remote options available.

Data Science team is open to diferent focuses on one or more of the following:
1) Data Science Mathematical background- solving algorithms/solutions
2) Deep learning
3) Cloud and engineering

Need less on the research side and more on engineering. Heavy experience with Python and Cloud ( AWS, Azure, or GCP).

Company is moving towards a full AI/ML approach as they are expanding their product line.

This person will bring from inception to initial product. Must not afraid to fail and work on their own. Bring CREATIVE energy to the team.

ResponsibilitiesPrototype, design, implement and test machine learning innovations applied to various business problems, with focus on affecting key KPIs
Work with engineering to architect and develop models that scale efficiently
Communicate results with both technical and non-technical audiences
Participate in group learning sessions across the team by reading papers, books, blogs, and interactive classes on cutting edge machine learning techniques
Be able to wear multiple hats and work in a startup-like atmosphere; be a part of design from innovation to production
Continuous improvement of skills by researching new techniques, methods, and software relevant to our problem spaceMost important: Python usage is huge
Deep learning for Machine Vision or NLP - either or
Nice to have - working in Cloud environments. Take products from inception to production
Entirely remote now. Onsite if only temp work.
8-/4 pm, 9-5 ish PST

Bachelor's Degree - required
Masters a plus

We are an equal opportunity employer and make hiring decisions based on merit. Recruitment, hiring, training, and job assignments are made without regard to race, color, national origin, age, ancestry, religion, sex, sexual orientation, gender identity, gender expression, marital status, disability, or any other protected classification. We consider all qualified applicants, including those with criminal histories, in a manner consistent with state and local laws, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance.",3.6,"Ledgent Technology
3.6",,"Irvine, CA",501 to 1000 Employees,Company - Public,$5 to $25 million (USD),-1,-1,-1
