Job Title,Salary Estimate,Job Description,Rating,Company Name,Division,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Hourly,Employer Estimate,Salary Currency,min_salary,max_salary,avg_salary,Company
Instructor: Artificial Intelligence & Data Science (Part-time),CA$80K - CA$121K (Glassdoor est.),"Job Description
Toronto Business College is a private career college that has partnered with an Ontario community college to offer programs to international students in the GTA. Our goal is to provide our students with the theoretical knowledge and practical skills required to thrive in the increasingly dynamic workforce. We strive to offer the most relevant programs and integrate hands-on learning experiences into every class to best equip our students to succeed.
TBC is seeking to hire a part time instructor for our Artificial Intelligence and Data Science program. Courses will be delivered on campus to international students.
Disciplines within the program include:
AI Principles and Best Practices in Canada",4.1,"TORONTO BUSINESS COLLEGE
4.1",,North York,1 to 50 Employees,,College / University,,,Unknown / Non-Applicable,0,0,CAD,80.0,121.0,100.5,TORONTO BUSINESS COLLEGE
Applied Data Scientist,CA$55K (Employer est.),"Position
Applied Data Scientist
Reporting to
Director of Technology
About the role
Airudi is looking for an applied data scientist to discover the information hidden in vast amounts of data, and to build the AI models that will enable Human Resources professionals to make smarter decisions.",-1.0,Airudi,,Remote,,,,,,,0,1,CAD,55.0,55.0,55.0,Airudi
"Data Science Specialist, Investments",CA$89K - CA$108K (Glassdoor est.),"Job Description :
About Us

Amica Senior Lifestyles is setting a new standard for senior living in Canada by combining unparalleled premium hospitality and amenities with expert care and support to deliver a personalized senior living experience. Committed to enriching the lives of seniors now and as their needs change, Amica offers Independent Living (IL), Assisted Living (AL) and Memory Care (MC) lifestyle options. Established in 1996, the company owns and operates 33 residences in British Columbia, Alberta and Ontario, with plans to continue expansion in select markets.

The Opportunity",3.6,"Amica Senior Lifestyles
3.6",,Toronto,1001 to 5000 Employees,1996.0,Company - Private,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD),0,0,CAD,89.0,108.0,98.5,Amica Senior Lifestyles
Data Scientist (Deep Learning),CA$135K - CA$150K (Employer est.),"Le Data Scientist (Deep Learning) fera partie d’un tout nouveau centre de recherche en intelligence artificielle (AI) et contribuera à la création de nouveaux systèmes puissants dans le domaine de la santé.
PLUS PRÉCISÉMENT
Analyser un très haut niveau de données et les transformer;
Concevoir et développer de nouveaux algorithmes d’AI avec le langage Python;
Suggérer de nouvelles façons d’exploiter les données de l’entreprise;
Rester à l’affût des dernières tendances et technologies.
PROFIL",5.0,"DELAN - Chasseurs de Talents en TI
5.0",,Montreal,1 to 50 Employees,1997.0,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),0,1,CAD,135.0,150.0,142.5,DELAN - Chasseurs de Talents en TI
Data Scientist,CA$134K - CA$191K (Glassdoor est.),"As a Data Scientist, you’ll bring a deep understanding of big data and will help the T+IL to build and enable big data analytics solutions.
WHO YOU ARE
Domain expertise
10+ years in Senior engineering and technology roles working with product development teams, delivering and building digital products – while remaining hands-on
Minimum of 5 years of experience in data science
Understanding of high performance algorithms and Python statistical software
Experience in industry data science (e.g., machine learning, predictive maintenance)",-1.0,Maarut Inc,,Calgary,51 to 200 Employees,,Private Practice / Firm,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,0,CAD,134.0,191.0,162.5,Maarut Inc
Senior Data Analyst,CA$63K - CA$119K (Glassdoor est.),"Job ID #350217
Senior Data Analyst
On behalf of our client in the Automotive Sector, PROCOM is looking for a Senior Data Analyst.
Senior Data Analyst - Job Description
Analyse the data to support critical business transformation initiatives.
Elicit, analyze, interpret business and data requirements to develop complete business solutions, includes review data models (entity relationship diagrams, dimensional data models), ETL and business rules, data life cycle management, governance, lineage, metadata and reporting elements",3.9,"Procom
3.9",,Toronto,5001 to 10000 Employees,1978.0,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 billion (USD),0,0,CAD,63.0,119.0,91.0,Procom
Sr. Data Analyst,CA$44K - CA$53K (Glassdoor est.),"Title: Sr. Data Analyst

Location: Greater Toronto Area, ON (Onsite)

Type: Long Term Contract

Description:
Our client's Register Division is looking for a results-oriented and motivated Sr. Data Analyst professional to join their team.

As Sr. Data Analyst you will leverage your proven expertise to design and implement Extract-Transform-Load (ETL) programs for a redesigned program.

Job Qualification & Requirements:


Job Requirements


We are an equal opportunity employer.

We wish to thank all those who apply. Our team will contact individuals whose skills and experience most closely match our requirements.

INDHuntelGlobalToronto",3.9,"Drake International Inc
3.9",,Toronto,1001 to 5000 Employees,1951.0,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,0,0,CAD,44.0,53.0,48.5,Drake International Inc
Data Lead (Remote),CA$49K - CA$58K (Glassdoor est.),"Data Lead (Remote) Ref # VS1114223
The Career Foundation is seeking a full-time Data Lead (Remote) on behalf of one of our employer partners.
Location: Toronto, ON
Job Type: Full-Time Permanent, Remote
Days of Work: Monday to Friday
Number of Vacancies: 1
Benefits:",4.3,"The Career Foundation
4.3",,Toronto,1 to 50 Employees,,Nonprofit Organization,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD),0,0,CAD,49.0,58.0,53.5,The Career Foundation
Junior Software Developer: Data Science,CA$55K - CA$75K (Employer est.),"About Us
Copperstone helps mining companies manage liabilities and safety costs associated with their tailings ponds. We do this by building field robots that can access their tailing ponds in a way never before possible. Our robots bring sensors or sampling payloads to a tailings pond, keeping people out of harm’s way, reducing costs and improving efficiencies for our clients. Inspired by advanced remote sensing and space robotics, we envision developing innovative tools and exploratory methods to help Earth’s most challenging environments. Copperstone started operations in 2014 and has since grown a creative and committed team supporting the mining industry with robotic services for hazardous site investigations.
Why Copperstone?
We put people first",5.0,"Copperstone Technologies Ltd.
5.0",,Edmonton,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,0,1,CAD,55.0,75.0,65.0,Copperstone Technologies Ltd.
Data Visualization and Analytics Advisor,CA$45K - CA$78K (Glassdoor est.),"Manpower is currently seeking a Data Visualization and Analytics Advisor for a long-term contract opportunity with a major oil and gas client located in Calgary, AB. This position is a hybrid role working in office 3 days a week while working from home 2 days a week.
Don't wait… Apply today!

What will you be doing?
Generate weekly/monthly scorecard reports for Downstream Manufacturing which includes but is not limited to safety, environment, and operational metrics
Attend reporting review meetings and make any adjustments as required from stakeholder feedback and provide general updates on progress",4.1,"Manpower
4.1",,Calgary,10000+ Employees,1948.0,Subsidiary or Business Segment,HR Consulting,Human Resources & Staffing,$10+ billion (USD),0,0,CAD,45.0,78.0,61.5,Manpower
STATISTICAL ANALYST - UBC,CA$35.98 Per Hour(Employer est.),"Recruiting in Motion is a successful and dynamic professional employment agency that has become deeply integrated into Metro Vancouver’s business sector as the go-to agency for the recruitment and placement of outstanding employees. Proudly BC-owned and operated, we ensure that all our candidates — temporary, contract, permanent or executive — are provided with exciting and impressive employment opportunities. In fact, we are ranked as one of Growth 500 Canada's fastest-growing companies and we represent BC's Top Employers!

About our Client
Recruiting in Motion Vancouver is an authorized staffing partner and service provider to The University of British Columbia . The University of British Columbia is a global centre for teaching, learning and research, consistently ranked among the top 20 public universities in the world. UBC has several locations where we provide temporary staff including the Point Grey Campus, UBC Robson Square and several UBC hospital sites (VGH and vicinity, St. Paul’s, BCCH, Royal Columbian, and BC Women’s). They are looking for a Statistical Analyst on full time temporary basis to start as soon as possible. The shifts run from 9 am to 5 pm, Monday to Friday and the pay rate will be $35.98 an hour. This is a remote position and you will be responsible to work closely with the Principal Investigator and members of the research team and will be involved in research projects that will require skills in a variety of statistical and data science techniques. If you have a comparable previous experience and you are looking for an exciting new opportunity, then we want to hear from you! Apply today!

Responsibilities

Participating as a member of research team

Providing statistical expertise for the design, execution and analysis of genomic, translational and clinical studies

Gathering, analyzing, and interpreting research data

Providing conclusions and recommendations, using a variety of established and newly developed statistical software

Drafting reports of statistical findings for publication

Writing statistical methodology sections of grant proposals

Identifying problem areas and study limitations

Consulting with investigators and research staff regarding statistical analysis and reporting of clinical findings for evidence-based outcome analysis

Responding to a variety of questions from research staff regarding study design, interpretation, and statistical software

Communicating technical concepts to non-statisticians

Performing other duties as assigned

Requirements

Minimum 3 years of statistician experience is required

Experience with biostatistics and/or health data management, data cleaning & analysis is must

Must have technical skills such like SAS or R programming

Experience with SAP development and Clinical Study report writing is needed

Must be fully Vaccinated – in case for attending onsite meetings

Outstanding communication (oral and written) and interpersonal abilities

Excellent organizational and leadership skills

Ability of multi-tasking and working with multidisciplinary team

How to Apply

All applicants must have legal permission to work in Canada and require a valid Work Permit and Social Insurance Number.

Good jobs go fast. Don't wait! apply today!

Visit our website www.recruitinginmotion.com for a complete listing of all our exciting job opportunities. There is no fee to job seekers.

We are Vancouver's #1 Employment Agency and represent BC's top employer!

#RIMCA",4.4,"Recruiting in Motion
4.4",,Vancouver,51 to 200 Employees,2010.0,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,1,1,CAD,35.98,35.98,35.98,Recruiting in Motion
,CA$50K - CA$105K (Glassdoor est.),,-1.0,-1,,,,,,,,,0,0,CAD,50.0,105.0,77.5,-1
Data Scientist Lead,CA$71K - CA$125K (Glassdoor est.),"Job ID #349220
Data Scientist Lead
On behalf of our client, Procom is currently seeking a Data Scientist Lead. The client is Number 1 in the world in their own domain.
The Data Scientist Lead's primary responsibility is to contribute to company’s success by ensuring and leading the continuous development and improvement of AI-based Anti-Fraud systems. The ideal candidate for this role is a person with strong analytical skills, detail-oriented, proactive, and able to work in a dynamic environment. The Data Science Lead should take responsibility and always see a path forward to success. The ideal candidate has strong leadership skills and experience working with big data tools, building models, and distilling insights for management.",3.9,"Procom
3.9",,Vancouver,5001 to 10000 Employees,1978.0,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 billion (USD),0,0,CAD,71.0,125.0,98.0,Procom
Machine Learning Research Scientist - Biotechnology Company,CA$90K - CA$110K (Employer est.),"This is a leading company in artificial intelligence for drug discovery that has launched multiple software products, including target identification platform, and automated drug discovery platform. We are looking for a Machine Learning Scientist to join the team. You will work with product teams as well as top AI scientists in this field. We focus on AI-assisted systems that can identify novel drug targets for untreated diseases, assist in the development of new treatments and eventually predict how well those treatments may perform in clinical trials. This company was ranked Top 5 AI companies in its potential for social impact according to NVIDIA and in 2018, the company was named one of the global top 100 AI companies by CB Insights. They are growing their team in Canada and are looking for people who want to be part of this journey.

More about role:
We are seeking a Machine Learning Research Scientist for generative models in chemistry/biology. We are an end-to-end artificial intelligence-driven pharma-technology company with a mission to accelerate drug discovery and development by leveraging our rapidly-evolving proprietary platforms across biology, chemistry, and clinical development. Our Pharma.AI platform has the potential to rapidly bring novel breakthrough medicines to patients while decreasing costs and increasing the probability of success.

Machine Learning Research scientist
1215 Boulevard René-Lévesque, Montreal. Hybrid model. Coming in to office 2 days a week.
Full time and permanent
90-110k + 8.33% bonus + Benefits + 3-4 weeks’ vacation


Do you have this experience?
Desirable Skills",4.4,"Groom & Associes
4.4",,Montreal,1 to 50 Employees,,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD),0,1,CAD,90.0,110.0,100.0,Groom & Associes
Data Scientist,CA$100K - CA$150K (Employer est.),"A special note from Mark Hobbs, CEO and Rachel Crosbie, VP Strategy and Operations:
We encourage those of diverse backgrounds and/or underrepresented groups to apply to our jobs even if the qualifications are not an exact match. Fundmetric is a team willing to invest in your professional development. Fundmetric strives to create a diverse and inclusive team. There is an added emphasis on achieving this at Fundmetric because it is mission-critical to remove bias from our artificial intelligence and the products and services we offer. Please feel free to address any special circumstances in your covering letter or contact us, if the application process itself presents a barrier.
Data Scientist at Fundmetric
Fundmetric is a data generation ecosystem, designed to help nonprofits transform their fundraising. Our AI-powered platform uses machine learning to predict donor behavior and identify future leadership opportunities, driving more frequent and higher donations.",-1.0,Fundmetric,,Halifax,,,,,,,0,1,CAD,100.0,150.0,125.0,Fundmetric
Jr. Data Scientist,CA$76K - CA$119K (Glassdoor est.),"SimpTek Technologies - Fredericton, NB:
SimpTek is seeking a Jr. Data Scientist to join our growing team. You will play a crucial role in helping SimpTek make smarter decisions to deliver even better products. Your primary focus will be on applying data mining techniques, doing statistical analysis, and building high-quality prediction systems integrated with our products to improve and extend the features used by our existing platform.

We are looking for someone that thrives on the urgency of startups and can leverage data analytics while being creative and is eager to learn and evolve as the job demands. You will be part of a dynamic team that is passionate about building better ways to provide energy insights for buildings. We’re looking for someone who can take ownership, and if you think you have those qualifications, you might be a good fit to join our team!

Responsibilities:


We are creating a platform that changes the way utilities, building owners and energy service providers collaborate. By using energy data analytics, SimpTek is building a new way of connecting consumers with personalized products and services to drive towards a zero-carbon world, We call this the Gride Edge Economy



If you were given a set of resumes with the goal to choose the most qualified candidate for the
Data Scientist position at SimpTek, how would you determine the best candidate?",4.9,"SimpTek Technologies
4.9",,Fredericton,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,0,0,CAD,76.0,119.0,97.5,SimpTek Technologies
Senior Data Scientist,CA$112K - CA$129K (Glassdoor est.),"Our Purpose
We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a
culture of inclusion
for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.
Job Title
Senior Data Scientist
Overview

Interested in building the next generation platform that handles petabytes of data and powers data insight creation using cutting edge data science technology? Excited about using Big Data, AI/Machine Learning and Data Analytics to deliver actionable insights? We are a dynamic team of top-notch engineers who are committed to make a dent in the FinTech universe.

We are growing rapidly in Vancouver, beautiful British Columbia, and if you wish to be part of this Priceless® experience, read below.

The Marketing Services (MS) Technology team is looking for a Senior Data Engineer who is passionate about data and analytics, highly motivated and can take technical ownership of data solutions with an emphasis on engineering efficiency and on-time delivery.

The ideal candidate is exposed to the fast-paced world of Big Data technology and has experience in building data solutions using new and emerging technologies while maintaining stability of the platform. The person will get a chance to work with diverse datasets and be on the cutting edge of transforming the way Mastercard captures, processes, stores and visualizes data.

Role

In this role, you will:



All About you

The ideal candidate for this position should:",4.3,"Mastercard
4.3",,Vancouver,10000+ Employees,1966.0,Company - Public,Financial Transaction Processing,Financial Services,$5 to $10 billion (USD),0,0,CAD,112.0,129.0,120.5,Mastercard
Data Science Student,CA$55K - CA$75K (Glassdoor est.),"The future you want is within reach.

At PCL, we build the places where life happens and find camaraderie in the process. We’re a community of builders committed to building better communities. That’s why we’re always looking ahead, and not just to the next project or what’s next in our industry.

We’re also looking at what’s next for you and how we can help you build a career you’re proud of. As a student at PCL, you will get the opportunity for challenging work assignments in a supportive work environment which promotes personal and professional growth.

We are seeking a Data Science Student for our PCL Industrial Management Inc. Office located in ,that is availablefor starting in",4.1,"PCL Construction
4.1",,Edmonton,1001 to 5000 Employees,1906.0,Company - Private,Construction,"Construction, Repair & Maintenance Services",$5 to $10 billion (USD),0,0,CAD,55.0,75.0,65.0,PCL Construction
Data Scientist - Data Operations and Analytics,CA$96K - CA$115K (Glassdoor est.),"Location: Toronto, ON, CA Edmonton, AB, CA Calgary, AB, CA Vancouver, British Columbia, CA
Req ID: 28845
Jobs by Category: Technology Solutions
Job Function: Planning and Analysis
Status: Full Time
Schedule: Regular
Let the data do the talking! If you love a challenge and love Data, this role is for you.

Our team and what we’ll accomplish together

The Data Operations and Analytics team is an internally focused reporting and analytics product minded team within TELUS, responsible for reporting on key operational metrics to ensure we are delivering to our customers. We discover key insights into our outages and provide the day to day on our ability to deliver. The Reliability Center of Excellence mission is to aim for the highest degree of service reliability for our customers – and for our team. We are dedicated to support all aspects of improving reliability here within TELUS operations. Our team includes a passionate group of business analysts, network analysts, data analysts, data scientists and data engineers.",3.9,"TELUS
3.9",,Toronto,10000+ Employees,1998.0,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),0,0,CAD,96.0,115.0,105.5,TELUS
Data Scientist (remote),CA$80K - CA$121K (Glassdoor est.),"Company Description

You will join a world-class team of engineers and data scientists from Facebook, Uber, Amazon and Google. We are a fast growing consulting firm based in Toronto with clients ranging from leading startups building impactful technologies to Fortune 500 companies looking to scale their engineering and data capabilities.

Job Description

We are looking for Data Scientists who are passionate about Machine Learning, and have deep knowledge in Statistics and Computer Science. You enjoy doing data science projects with structured and/or unstructured data and are motivated to productize scalable machine learning models. We will also rely on you to build data products to extract valuable business insights. Critical thinking and problem-solving skills are essential for this role.",5.0,"Ample Insight Inc.
5.0",,Toronto,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,0,0,CAD,80.0,121.0,100.5,Ample Insight Inc.
Data Scientist - Marks,CA$82K - CA$101K (Glassdoor est.),"Help us boldly shape retail in Canada
Canadian Tire Corporation’s (CTC) rich heritage of serving Canadians from coast-to-coast dates back to 1922. Our vision is to become the #1 retail brand in Canada and we are focused on innovating and making important investments in our business, especially when it comes to our people. To reach our goal, we need the best talent to help us evolve and drive change across the business – and boldly help shape Canada’s retail industry. As we strive to be at the forefront of a complex and vastly changing retail industry, it is an exciting time to join the Canadian Tire family of companies.
At Canadian Tire we work flexibility embracing ‘Hybrid’ whereby individuals utilize a combination of working at a CTC campus and or virtually in service of outcomes. Determined by managers, decisions around work location will be made based on business and team needs and grounded in a desire to support individual well-being and personal needs. Our goal is to empower teams and individuals to make the right decisions for them, and we expect that to look different for everyone.",3.7,"Mark's
3.7",,Calgary,5001 to 10000 Employees,1977.0,Company - Private,"Department, Clothing & Shoe Stores",Retail & Wholesale,$500 million to $1 billion (USD),0,0,CAD,82.0,101.0,91.5,Mark's
Statistical Analyst - Data Science,CA$64K - CA$73K (Glassdoor est.),"Individually we are people, but together we are Aviva. Individually these are just words, but together they are our Values – Care, Commitment, Community, and Confidence.
What you will do
Join an exciting team of actuaries, data scientists and engineers at the forefront of leveraging data to drive decisions at every level of our organization. The insurance industry is undergoing a transformation and you get to be in the driver’s seat of this data-driven, technology revolution.
You will work on impactful projects that range from predicting customer life-time values and optimizing customer journeys to incorporating novel data sources for building cutting-edge pricing and machine-learning algorithms. You will work closely with data scientists to bring cutting-edge models to market. This team is exploring the frontiers of the insurance business such as how to harness the data from connected homes and cars to deliver new types of products to customers.
As a statistical analyst, you will be part of a dynamic team with exposure to different business stakeholders and direct influence on future products and innovative solutions. You will work on the proposal of innovative machine-learning and statistical models for practical applications that impact millions of customers. You will advance the department’s capabilities by creating and deploying long term tools to continually evolve the business. The team has already developed algorithms used in production systems and you will be part of the team that expands the scope of these algorithms. This is your chance to join the InsureTech revolution!",3.9,"Aviva
3.7",,Toronto,1 to 50 Employees,,Company - Private,Mining & Metals,"Energy, Mining & Utilities",Unknown / Non-Applicable,0,0,CAD,64.0,73.0,68.5,Aviva
